[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.004000s ]
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN (7) ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | SQL: SHOW COLUMNS FROM `hd_ask_view` [ RunTime:0.014001s ]
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | SQL: SELECT * FROM `hd_ask_view` WHERE ( `cid` IN (7) ) AND ( `solve` = 0 ) ORDER BY time DESC LIMIT 0,15   [ RunTime:0.001000s ]
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | INFO: Tag[ view_template ] --START--
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | INFO: Tag[ view_parse ] --START--
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T23:51:25+08:00 ] /index.php/List/index/id/7 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
